payment_id,user_id,amount,payment_date,plan_type,valid_until,churn_status,renewed,transaction_type,subscription_length,overlapping_subscription,subscription_sequence
T98795061903,15550,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,4
T87085808459,16319,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,3
T71969292460,16426,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,2
T54568063993,15526,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,4
T95368586008,15560,-5.99,2025-03-13,Student Plan,2025-04-12,active,True,refund/credit,30,False,4
T85412906462,15637,4.99,2025-03-13,Student Plan,2025-04-12,active,True,payment,30,False,4
T71562133226,16392,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,2
T89147381594,15647,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,3
T92053769019,15696,4.99,2025-03-13,Student Plan,2025-04-12,active,True,payment,30,False,4
T58585680815,16452,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,2
T60983127003,16352,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,3
T97050570522,16440,7.99,2025-03-13,Standard,2025-04-12,churned,False,payment,30,False,2
T83608440023,15665,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,4
T52659114525,15659,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,4
T74377596346,16454,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,2
T64686972118,15095,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,3
T92473292714,16455,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,2
T56850853945,15102,7.99,2025-03-13,Standard,2025-04-12,churned,False,payment,30,False,4
T71682403315,16447,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,2
T60689770511,16385,7.99,2025-03-13,Standard,2025-04-12,churned,False,payment,30,False,3
T89109233739,16463,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,2
T51218878442,15708,7.99,2025-03-13,Standard,2025-04-12,active,True,payment,30,False,3
T93892454573,15641,7.99,2025-03-13,Standard,2025-04-12,churned,False,payment,30,False,4
T87133845350,16469,12.99,2025-03-13,Premium,2025-05-12,churned,False,payment,60,False,2
T87110726476,15126,12.99,2025-03-13,Premium,2025-05-12,active,True,payment,60,False,3
T71631130647,15548,4.99,2025-03-12,Student Plan,2025-04-11,active,True,payment,30,False,4
T68365552825,15007,4.99,2025-03-12,Student Plan,2025-04-11,churned,False,payment,30,False,5
T79999383314,15575,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,4
T64071742686,15074,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,3
T93512934843,16411,7.99,2025-03-12,Standard,2025-04-11,active,True,payment,30,False,3
T54577065471,15570,7.99,2025-03-12,Standard,2025-04-11,active,True,payment,30,False,4
T53602482829,15078,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,3
T95754382847,15058,4.99,2025-03-12,Student Plan,2025-04-11,active,True,payment,30,False,5
T68661274832,16402,7.99,2025-03-12,Standard,2025-04-11,churned,False,payment,30,False,2
T79599089170,16407,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,2
T94625362821,16399,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,2
T72846446230,15631,12.99,2025-03-12,Premium,2025-05-11,churned,False,payment,60,False,4
T95360863718,16356,7.99,2025-03-12,Standard,2025-04-11,active,True,payment,30,False,3
T96668412107,15026,7.99,2025-03-12,Standard,2025-04-11,active,True,payment,30,False,5
T75186572688,15143,7.99,2025-03-12,Standard,2025-04-11,active,True,payment,30,False,3
T99071633051,16353,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,2
T84310819665,15595,4.99,2025-03-12,Student Plan,2025-04-11,active,True,payment,30,False,4
T66441065397,15031,7.99,2025-03-12,Standard,2025-04-11,active,True,payment,30,False,4
T50215401420,15662,7.99,2025-03-12,Standard,2025-04-11,churned,False,payment,30,False,3
T94288621335,15599,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,3
T90586860397,15151,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,3
T87891048723,15627,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,3
T55497457675,16233,7.99,2025-03-12,Standard,2025-04-11,active,True,payment,30,False,3
T90082053626,15043,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,3
T83447479837,15645,12.99,2025-03-12,Premium,2025-05-11,active,True,payment,60,False,4
T69414280106,16316,4.99,2025-03-12,Student Plan,2025-04-11,active,True,payment,30,False,3
T83723150125,16243,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,3
T74158554153,15132,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,3
T53915488825,15170,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,3
T72358968207,15072,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,3
T92821004664,15051,12.99,2025-03-11,Premium,2025-05-10,churned,False,payment,60,False,3
T70733790569,15107,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,3
T69209587134,15056,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,3
T99139622985,16265,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,3
T53725102524,16264,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,3
T52867709547,16250,4.99,2025-03-11,Student Plan,2025-04-10,churned,False,payment,30,False,3
T81329950998,16246,7.99,2025-03-11,Standard,2025-04-10,churned,False,payment,30,False,3
T77518863686,16419,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,2
T74044132911,16330,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,2
T60410422038,15592,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,4
T65704208908,15635,3.141689,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,3
T84782125659,16331,7.99,2025-03-11,Standard,2025-04-10,churned,False,payment,30,False,2
T77647607948,16326,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,3
T78780773096,15021,-5.99,2025-03-11,Standard,2025-04-10,active,True,refund/credit,30,False,4
T94973691886,16340,7.99,2025-03-11,Standard,2025-04-10,churned,False,payment,30,False,2
T76570252500,16314,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,3
T54311135059,16420,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,2
T98749137203,16342,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,2
T61458654786,16308,4.99,2025-03-11,Student Plan,2025-04-10,active,True,payment,30,False,3
T54770013626,16360,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,2
T98875578884,16302,4.99,2025-03-11,Student Plan,2025-04-10,active,True,payment,30,False,3
T91939043138,16337,12.99,2025-03-11,Premium,2025-05-10,active,True,payment,60,False,2
T95316611837,16334,7.99,2025-03-11,Standard,2025-04-10,active,True,payment,30,False,3
T66978864611,15591,4.99,2025-03-11,Student Plan,2025-04-10,churned,False,payment,30,False,4
T78206972357,15005,4.99,2025-03-11,Student Plan,2025-04-10,active,True,payment,30,False,4
T96333661941,15037,12.99,2025-03-11,Premium,2025-05-10,churned,False,payment,60,False,3
T99714000945,15559,7.99,2025-03-11,Standard,2025-04-10,churned,False,payment,30,False,4
T78127131290,15700,4.99,2025-03-10,Student Plan,2025-04-09,active,True,payment,30,False,3
T73813122108,15069,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,3
T95851217724,16215,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,3
T55323345192,16338,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,2
T74994139379,16185,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,3
T85370655600,16375,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,2
T57443118480,16376,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,3
T97184496697,15092,7.99,2025-03-10,Standard,2025-04-09,churned,False,payment,30,False,5
T89710610114,15653,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,3
T68525297550,16371,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,2
T69595131556,15090,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,3
T53626492857,15097,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,3
T87013493654,16366,4.99,2025-03-10,Student Plan,2025-04-09,active,True,payment,30,False,3
T93068537651,16277,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,3
T83663003005,15036,7.99,2025-03-10,Standard,2025-04-09,churned,False,payment,30,False,4
T57716071175,15489,-5.99,2025-03-10,Premium,2025-05-09,active,True,refund/credit,60,False,4
T85822842625,16266,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,3
T55572190019,15565,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,4
T70385084632,15567,7.99,2025-03-10,Standard,2025-04-09,churned,False,payment,30,False,4
T59872387342,15578,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,3
T59286963208,16258,7.99,2025-03-10,Standard,2025-04-09,churned,False,payment,30,False,3
T73949429367,16304,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,2
T64893447735,16311,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,2
T94881395584,16312,4.99,2025-03-10,Student Plan,2025-04-09,churned,False,payment,30,False,3
T88793712869,15536,7.99,2025-03-10,Standard,2025-04-09,active,True,payment,30,False,4
T59931104853,15612,12.99,2025-03-10,Premium,2025-05-09,active,True,payment,60,False,3
T96360691187,16275,4.99,2025-03-10,Student Plan,2025-04-09,active,True,payment,30,False,3
T74235179894,15522,4.99,2025-03-10,Student Plan,2025-04-09,churned,False,payment,30,False,4
T75081974610,16389,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T63238762241,15538,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,4
T85461404642,15064,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,5
T68899754459,15535,7.99,2025-03-09,Standard,2025-04-08,active,True,payment,30,False,4
T88765553557,16179,7.99,2025-03-09,Standard,2025-04-08,churned,False,payment,30,False,3
T55962082768,15615,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,3
T60455272464,15103,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,3
T98061019775,15110,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,3
T58353528657,15474,7.99,2025-03-09,Standard,2025-04-08,active,True,payment,30,False,4
T54725155215,16210,7.99,2025-03-09,Standard,2025-04-08,churned,False,payment,30,False,3
T77577922454,16387,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T52559073171,16291,7.99,2025-03-09,Standard,2025-04-08,active,True,payment,30,False,2
T87750676329,16351,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T69018676682,16257,7.99,2025-03-09,Standard,2025-04-08,active,True,payment,30,False,3
T52535760795,16299,7.99,2025-03-09,Standard,2025-04-08,active,True,payment,30,False,3
T77393455051,16254,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,3
T95808668996,16339,7.99,2025-03-09,Standard,2025-04-08,active,True,payment,30,False,3
T97378001722,16296,7.99,2025-03-09,Standard,2025-04-08,churned,False,payment,30,False,3
T79372872917,16317,4.99,2025-03-09,Student Plan,2025-04-08,active,True,payment,30,False,3
T62393619032,16294,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T68763503568,15028,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,3
T89697678535,16354,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T71457873007,16373,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T86179345289,16284,12.99,2025-03-09,Premium,2025-05-08,churned,False,payment,60,False,2
T78998052496,16259,7.99,2025-03-09,Standard,2025-04-08,churned,False,payment,30,False,3
T86198180648,16381,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T85844511371,16260,7.99,2025-03-09,Standard,2025-04-08,active,True,payment,30,False,3
T58282478691,16273,4.99,2025-03-09,Student Plan,2025-04-08,active,True,payment,30,False,3
T91489501141,16341,12.99,2025-03-09,Premium,2025-05-08,active,True,payment,60,False,2
T56296958896,15000,7.99,2025-03-08,Standard,2025-04-07,active,True,payment,30,False,3
T92465906919,15075,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T97221161916,15023,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T59481202987,15077,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T80055164163,15498,7.99,2025-03-08,Standard,2025-04-07,churned,False,payment,30,False,4
T54780856921,15462,4.99,2025-03-08,Student Plan,2025-04-07,active,True,payment,30,False,4
T95841840375,15586,7.99,2025-03-08,Standard,2025-04-07,churned,False,payment,30,False,3
T98026892064,15030,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T97056172549,15514,7.99,2025-03-08,Standard,2025-04-07,active,True,payment,30,False,4
T54879492195,15603,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T84018841108,15080,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T75899708567,15048,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T62788726843,15513,7.99,2025-03-08,Standard,2025-04-07,active,True,payment,30,False,4
T86352519380,15527,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T74847752912,15112,-5.99,2025-03-08,Premium,2025-05-07,active,True,refund/credit,60,False,3
T64915337793,16249,7.99,2025-03-08,Standard,2025-04-07,active,True,payment,30,False,3
T67218834709,15519,7.99,2025-03-08,Standard,2025-04-07,active,True,payment,30,False,4
T95117005650,16161,7.99,2025-03-08,Standard,2025-04-07,active,True,payment,30,False,3
T74761932759,16230,4.99,2025-03-08,Student Plan,2025-04-07,active,True,payment,30,False,3
T74390334266,15016,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T79568562808,16241,7.99,2025-03-08,Standard,2025-04-07,active,True,payment,30,False,3
T55758822203,16283,7.99,2025-03-08,Standard,2025-04-07,churned,False,payment,30,False,3
T94635092633,16286,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,2
T73227760828,16344,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,2
T59845154195,16242,7.99,2025-03-08,Standard,2025-04-07,churned,False,payment,30,False,3
T87514131210,15517,12.99,2025-03-08,Premium,2025-05-07,active,True,payment,60,False,3
T95674111986,16240,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,2
T77782474136,15605,4.99,2025-03-07,Student Plan,2025-04-06,active,True,payment,30,False,4
T88903110520,16348,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,2
T60452605066,15020,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,3
T83908839848,16113,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,3
T51199849713,15558,7.99,2025-03-07,Standard,2025-04-06,active,True,payment,30,False,4
T69278902949,16274,7.99,2025-03-07,Standard,2025-04-06,active,True,payment,30,False,3
T79436914640,15473,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,3
T70131230131,16281,7.99,2025-03-07,Standard,2025-04-06,active,True,payment,30,False,2
T95700231458,15470,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,4
T75900642515,15521,7.99,2025-03-07,Standard,2025-04-06,churned,False,payment,30,False,3
T58337474397,15554,7.99,2025-03-07,Standard,2025-04-06,active,True,payment,30,False,4
T93424724063,16287,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,2
T98839482363,16313,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,2
T94110920561,16295,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,2
T78189503127,16184,7.99,2025-03-07,Standard,2025-04-06,active,True,payment,30,False,3
T73106646322,16350,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,2
T95328302859,16336,7.99,2025-03-07,Standard,2025-04-06,churned,False,payment,30,False,2
T86700956787,16234,12.99,2025-03-07,Premium,2025-05-06,active,True,payment,60,False,2
T56285307833,15450,4.99,2025-03-07,Student Plan,2025-04-06,active,True,payment,30,False,4
T85297775919,15505,7.99,2025-03-06,Standard,2025-04-05,active,True,payment,30,False,4
T81743320793,16225,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T62784164911,15508,7.99,2025-03-06,Standard,2025-04-05,active,True,payment,30,False,4
T53064742258,16325,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T83603776639,15511,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,4
T64811792206,16974,4.99,2025-03-06,Student Plan,2025-04-05,churned,False,payment,30,False,2
T90856943133,16309,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T61686583456,16297,12.99,2025-03-06,Premium,2025-05-05,churned,False,payment,60,False,2
T72535263358,15477,4.99,2025-03-06,Student Plan,2025-04-05,active,True,payment,30,False,4
T99628568630,15552,7.99,2025-03-06,Standard,2025-04-05,active,True,payment,30,False,4
T57376761092,16282,7.99,2025-03-06,Standard,2025-04-05,churned,False,payment,30,False,2
T80998665378,16972,4.99,2025-03-06,Student Plan,2025-04-05,active,True,payment,30,False,2
T87019461364,16237,4.99,2025-03-06,Student Plan,2025-04-05,active,True,payment,30,False,3
T89558031139,16993,7.99,2025-03-06,Standard,2025-04-05,active,True,payment,30,False,2
T66232859527,15015,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,3
T73731707184,16244,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T53065522864,15481,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,4
T50148784679,15003,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,3
T71499410553,16199,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T86080258855,16200,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,3
T56628757319,16223,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T75068419004,16201,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T51277873523,15407,7.99,2025-03-06,Standard,2025-04-05,active,True,payment,30,False,4
T89924419025,15008,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,3
T61468250958,15492,7.99,2025-03-06,Standard,2025-04-05,active,True,payment,30,False,4
T64184542692,16206,12.99,2025-03-06,Premium,2025-05-05,active,True,payment,60,False,2
T73008754377,16204,7.99,2025-03-06,Standard,2025-04-05,active,True,payment,30,False,3
T59551114899,16983,4.99,2025-03-06,Student Plan,2025-04-05,churned,False,payment,30,False,2
T98061873662,16998,4.99,2025-03-06,Student Plan,2025-04-05,active,True,payment,30,False,2
T76505811036,16128,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T87203914333,16216,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T55921023294,16127,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T90264248775,15504,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,4
T86373634647,16235,7.99,2025-03-05,Standard,2025-04-04,churned,False,payment,30,False,2
T78845187351,16971,4.99,2025-03-05,Student Plan,2025-04-04,active,True,payment,30,False,2
T51086483812,16180,12.99,2025-03-05,Premium,2025-05-04,active,True,payment,60,False,2
T68520386919,15479,12.99,2025-03-05,Premium,2025-05-04,active,True,payment,60,False,4
T85299863120,16944,4.99,2025-03-05,Student Plan,2025-04-04,active,True,payment,30,False,2
T87965520521,16236,4.99,2025-03-05,Student Plan,2025-04-04,active,True,payment,30,False,3
T63619682517,16973,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,2
T99572281739,16271,12.99,2025-03-05,Premium,2025-05-04,active,True,payment,60,False,2
T93143742978,15368,4.99,2025-03-05,Student Plan,2025-04-04,active,True,payment,30,False,4
T84684455565,16292,12.99,2025-03-05,Premium,2025-05-04,active,True,payment,60,False,2
T99515080989,16143,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T91150174017,16967,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,2
T87111205033,16288,12.99,2025-03-05,Premium,2025-05-04,churned,False,payment,60,False,2
T93044134790,16949,4.99,2025-03-05,Student Plan,2025-04-04,active,True,payment,30,False,2
T86538105233,16961,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,2
T88061779497,15486,7.99,2025-03-05,Standard,2025-04-04,churned,False,payment,30,False,4
T93486345642,16145,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T85512520565,16278,12.99,2025-03-05,Premium,2025-05-04,active,True,payment,60,False,2
T96648862524,16152,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T79733638122,16963,4.99,2025-03-05,Student Plan,2025-04-04,active,True,payment,30,False,2
T61969066417,16227,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,2
T71273370631,16156,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T81057221090,16269,12.99,2025-03-05,Premium,2025-05-04,active,True,payment,60,False,3
T76053901581,15426,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,4
T88005607701,16238,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,2
T81171961835,16205,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T54169669090,16118,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T61027315102,16953,12.99,2025-03-05,Premium,2025-05-04,churned,False,payment,60,False,2
T86923062595,16263,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,3
T87846688728,16163,7.99,2025-03-05,Standard,2025-04-04,churned,False,payment,30,False,3
T70478661334,16167,12.99,2025-03-05,Premium,2025-05-04,active,True,payment,60,False,3
T78416665027,16942,7.99,2025-03-05,Standard,2025-04-04,active,True,payment,30,False,2
